g_direct,se_direct,z_direct
0.002855667849909125,0.012532788515132301,0.22785574387225502
0.0041952379996164964,0.017824266223574324,0.23536665953002242
-0.0018466645426873803,0.012861046583855111,0.14358586843201068
2.2323306520509803e-05,0.01511268395087583,0.0014771238909694856
-0.007039158953334732,0.01441826337099108,0.4882112895438721
0.006817672607973871,0.012619199869645726,0.5402618770127516
0.00019875868401279356,0.015919922035252037,0.012484903102708373
0.00482194737542772,0.011063198057702206,0.43585474564207743
0.00931301580721773,0.0129222248355421,0.7206975521430817
0.0009946095951921493,0.01849959401033418,0.053763860689945084
0.012416140186812256,0.010782111584659217,1.151549962112981
0.002213024802872968,0.006231490563826247,0.3551357063299685
0.002770859068653634,0.010503755411722777,0.2637969906992694
0.008599543717347379,0.02190607433959299,0.39256434466693024
0.010624160005450842,0.013242336750068199,0.8022874063670165
0.0013600683018842323,0.010838693857270695,0.12548267529227114
0.007336093271827884,0.007045211496694532,1.0412878698204913
0.00046843447485497776,0.005766265535796161,0.08123706269629845
0.007144912948938107,0.01651474003720876,0.43263853580741585
0.01081480719742069,0.019317767501892073,0.5598373205579494
